date,user_id,click_target
2017-12-11,1,ad
2017-12-16,5,profile
2017-12-12,5,profile
2017-12-20,1,ad
2017-12-18,5,item
2017-12-11,5,profile
2017-12-20,1,item
2017-12-21,1,ad
2017-12-19,5,profile
2017-12-17,5,item
2017-12-21,5,item
2017-12-14,5,ad
2017-12-18,5,ad
2017-12-13,1,item
2017-12-14,5,item
2017-12-21,5,ad
2017-12-12,1,ad
2017-12-21,1,profile
2017-12-14,1,ad
2017-12-20,5,profile
2017-12-17,1,item
2017-12-12,1,ad
2017-12-16,1,item
2017-12-16,5,ad
2017-12-15,5,profile
2017-12-20,1,item
2017-12-12,5,profile
2017-12-17,1,profile
2017-12-15,5,profile
2017-12-14,5,profile
2017-12-17,1,item
2017-12-14,1,ad
